Orthogroup	C_sinensis_GCF_004153795.1_AHAU_CSS_1_protein	ptanmaker17.all.maker.proteins	uniprot-monotropa+hypopitys	uniprot-vaccinium+corymbosum
OG0013708	XP_028051085.1			
OG0013709	XP_028051092.1			
OG0013710	XP_028051095.1			
OG0013711	XP_028051110.1			
OG0013712	XP_028051111.1			
OG0013713	XP_028051134.1			
OG0013714	XP_028051159.1			
OG0013715	XP_028051160.1			
OG0013716	XP_028051186.1			
OG0013717	XP_028051188.1			
OG0013718	XP_028051201.1			
OG0013719	XP_028051202.1			
OG0013720	XP_028051205.1			
OG0013721	XP_028051210.1			
OG0013722	XP_028051234.1			
OG0013723	XP_028051254.1			
OG0013724	XP_028051256.1			
OG0013725	XP_028051257.1			
OG0013726	XP_028051259.1			
OG0013727	XP_028051261.1			
OG0013728	XP_028051263.1			
OG0013729	XP_028051271.1			
OG0013730	XP_028051274.1			
OG0013731	XP_028051280.1			
OG0013732	XP_028051281.1			
OG0013733	XP_028051282.1			
OG0013734	XP_028051286.1			
OG0013735	XP_028051290.1			
OG0013736	XP_028051296.1			
OG0013737	XP_028051333.1			
OG0013738	XP_028051336.1			
OG0013739	XP_028051349.1			
OG0013740	XP_028051364.1			
OG0013741	XP_028051369.1			
OG0013742	XP_028051373.1			
OG0013743	XP_028051386.1			
OG0013744	XP_028051410.1			
OG0013745	XP_028051445.1			
OG0013746	XP_028051460.1			
OG0013747	XP_028051461.1			
OG0013748	XP_028051464.1			
OG0013749	XP_028051476.1			
OG0013750	XP_028051477.1			
OG0013751	XP_028051484.1			
OG0013752	XP_028051489.1			
OG0013753	XP_028051503.1			
OG0013754	XP_028051514.1			
OG0013755	XP_028051521.1			
OG0013756	XP_028051524.1			
OG0013757	XP_028051534.1			
OG0013758	XP_028051537.1			
OG0013759	XP_028051538.1			
OG0013760	XP_028051558.1			
OG0013761	XP_028051562.1			
OG0013762	XP_028051565.1			
OG0013763	XP_028051584.1			
OG0013764	XP_028051597.1			
OG0013765	XP_028051599.1			
OG0013766	XP_028051602.1			
OG0013767	XP_028051622.1			
OG0013768	XP_028051626.1			
OG0013769	XP_028051627.1			
OG0013770	XP_028051643.1			
OG0013771	XP_028051668.1			
OG0013772	XP_028051726.1			
OG0013773	XP_028051733.1			
OG0013774	XP_028051734.1			
OG0013775	XP_028051735.1			
OG0013776	XP_028051738.1			
OG0013777	XP_028051771.1			
OG0013778	XP_028051803.1			
OG0013779	XP_028051804.1			
OG0013780	XP_028051817.1			
OG0013781	XP_028051818.1			
OG0013782	XP_028051831.1			
OG0013783	XP_028051835.1			
OG0013784	XP_028051836.1			
OG0013785	XP_028051837.1			
OG0013786	XP_028051838.1			
OG0013787	XP_028051839.1			
OG0013788	XP_028051841.1			
OG0013789	XP_028051842.1			
OG0013790	XP_028051843.1			
OG0013791	XP_028051844.1			
OG0013792	XP_028051845.1			
OG0013793	XP_028051853.1			
OG0013794	XP_028051861.1			
OG0013795	XP_028051865.1			
OG0013796	XP_028051873.1			
OG0013797	XP_028051877.1			
OG0013798	XP_028051878.1			
OG0013799	XP_028051881.1			
OG0013800	XP_028051882.1			
OG0013801	XP_028051884.1			
OG0013802	XP_028051893.1			
OG0013803	XP_028051900.1			
OG0013804	XP_028051901.1			
OG0013805	XP_028051904.1			
OG0013806	XP_028051905.1			
OG0013807	XP_028051927.1			
OG0013808	XP_028051939.1			
OG0013809	XP_028051940.1			
OG0013810	XP_028051949.1			
OG0013811	XP_028051950.1			
OG0013812	XP_028051951.1			
OG0013813	XP_028051952.1			
OG0013814	XP_028051953.1			
OG0013815	XP_028051954.1			
OG0013816	XP_028051963.1			
OG0013817	XP_028051964.1			
OG0013818	XP_028051967.1			
OG0013819	XP_028051989.1			
OG0013820	XP_028051995.1			
OG0013821	XP_028051996.1			
OG0013822	XP_028051998.1			
OG0013823	XP_028052001.1			
OG0013824	XP_028052003.1			
OG0013825	XP_028052010.1			
OG0013826	XP_028052013.1			
OG0013827	XP_028052018.1			
OG0013828	XP_028052021.1			
OG0013829	XP_028052026.1			
OG0013830	XP_028052063.1			
OG0013831	XP_028052067.1			
OG0013832	XP_028052096.1			
OG0013833	XP_028052098.1			
OG0013834	XP_028052103.1			
OG0013835	XP_028052105.1			
OG0013836	XP_028052112.1			
OG0013837	XP_028052120.1			
OG0013838	XP_028052121.1			
OG0013839	XP_028052122.1			
OG0013840	XP_028052123.1			
OG0013841	XP_028052124.1			
